id,retweet_count,favorite_count,retweeted,lang
892420643555336193,8853,39467,False,en
892177421306343426,6514,33819,False,en
891815181378084864,4328,25461,False,en
891689557279858688,8964,42908,False,en
891327558926688256,9774,41048,False,en
891087950875897856,3261,20562,False,en
890971913173991426,2158,12041,False,en
890729181411237888,16716,56848,False,en
890609185150312448,4429,28226,False,en
890240255349198849,7711,32467,False,en
890006608113172480,7624,31166,False,en
889880896479866881,5156,28268,False,en
889665388333682689,8538,38818,False,en
889638837579907072,4735,27672,False,en
889531135344209921,2321,15359,False,en
889278841981685760,5637,25652,False,en
888917238123831296,4709,29611,False,en
888804989199671297,4559,26080,False,en
888554962724278272,3732,20290,False,en
888078434458587136,3653,22201,False,en
887705289381826560,5609,30779,False,en
887517139158093824,12082,46959,False,en
887473957103951883,18781,69871,False,en
887343217045368832,10737,34222,False,en
887101392804085760,6167,31061,False,en
886983233522544640,8084,35859,False,en
886736880519319552,3443,12306,False,en
886680336477933568,4610,22798,False,en
886366144734445568,3316,21524,False,en
886267009285017600,4,117,False,en
886258384151887873,6523,28469,False,en
886054160059072513,108,0,False,und
885984800019947520,7097,33382,False,en
885528943205470208,6683,36689,False,en
885518971528720385,3899,20788,False,en
885311592912609280,19297,0,False,en
885167619883638784,4556,22367,False,en
884925521741709313,16439,68152,False,en
884876753390489601,6096,28514,False,en
884562892145688576,5100,24765,False,en
884441805382717440,5856,27478,False,en
884247878851493888,21298,74423,False,en
884162670584377345,3128,20771,False,en
883838122936631299,3586,22349,False,en
883482846933004288,10407,46860,False,en
883360690899218434,3825,22986,False,en
883117836046086144,6949,37914,False,en
882992080364220416,4122,24445,False,en
882762694511734784,5134,28903,False,en
882627270321602560,6342,28382,False,en
882268110199369728,12118,45880,False,en
882045870035918850,5203,29900,False,en
881906580714921986,3533,24773,False,en
881666595344535552,11099,51522,False,en
881633300179243008,7,129,False,en
881536004380872706,16570,50199,False,en
881268444196462592,5358,23501,False,en
880935762899988482,2886,17346,False,en
880872448815771648,3989,21734,False,en
880465832366813184,6546,29075,False,en
880221127280381952,4436,27640,False,en
880095782870896641,4533,28150,False,en
879862464715927552,3642,22667,False,en
879674319642796034,10,315,False,en
879492040517615616,3323,23822,False,en
879415818425184262,45849,107956,False,en
879376492567855104,3261,17099,False,en
879130579576475649,7181,0,False,en
879050749262655488,4941,23022,False,en
879008229531029506,2812,19317,False,en
878776093423087618,4319,19763,False,en
878604707211726852,7582,30931,False,en
878404777348136964,1349,0,False,en
878316110768087041,6965,0,False,en
878281511006478336,1349,7913,False,en
878057613040115712,7181,42876,False,en
877736472329191424,17300,71144,False,en
877611172832227328,83,0,False,en
877556246731214848,3994,23258,False,en
877316821321428993,5414,27907,False,en
877201837425926144,5880,27755,False,en
876838120628539392,3506,21125,False,en
876537666061221889,4800,23869,False,en
876484053909872640,2511,19163,False,en
876120275196170240,4903,28490,False,en
875747767867523072,4497,25773,False,en
875144289856114688,5081,22185,False,en
875097192612077568,6342,27997,False,en
875021211251597312,4922,26022,False,en
874680097055178752,4875,28439,False,en
874434818259525634,15546,0,False,en
874296783580663808,4308,26651,False,en
874057562936811520,4125,23134,False,en
874012996292530176,11007,35501,False,en
873697596434513921,12518,0,False,en
873580283840344065,4143,24837,False,en
873337748698140672,1667,0,False,en
873213775632977920,1667,7467,False,en
872967104147763200,5669,28031,False,en
872820683541237760,3884,15029,False,en
872668790621863937,31,0,False,en
872620804844003328,3911,21309,False,en
872486979161796608,9429,41606,False,en
872261713294495745,6649,35085,False,en
872122724285648897,8549,35324,False,en
871879754684805121,11918,39090,False,en
871762521631449091,3678,20787,False,en
871515927908634625,3628,20730,False,en
871166179821445120,5991,0,False,en
871102520638267392,5764,21461,False,en
871032628920680449,3999,23255,False,en
870804317367881728,6393,33791,False,en
870726314365509632,3,121,False,en
870656317836468226,2817,12819,False,en
870374049280663552,27680,85011,False,en
870308999962521604,4384,22453,False,en
870063196459192321,8840,37771,False,en
869988702071779329,25661,0,False,en
869772420881756160,10663,43710,False,en
869702957897576449,6728,29116,False,en
869596645499047938,3327,16476,False,en
869227993411051520,4023,21112,False,en
868880397819494401,12518,55098,False,en
868639477480148993,2240,0,False,en
868622495443632128,6275,28295,False,en
868552278524837888,2240,10539,False,en
867900495410671616,4439,24964,False,en
867774946302451713,7788,35179,False,en
867421006826221569,2697,16755,False,en
867072653475098625,135,0,False,en
867051520902168576,8425,33420,False,en
866816280283807744,32883,0,False,en
866720684873056260,5168,20888,False,en
866686824827068416,3727,20070,False,en
866450705531457537,32883,106827,False,en
866334964761202691,15546,54720,False,en
866094527597207552,8952,0,False,en
865718153858494464,6008,26640,False,en
865359393868664832,5384,27530,False,en
865006731092295680,8209,29063,False,en
864873206498414592,9361,33651,False,en
864279568663928832,3266,15195,False,en
864197398364647424,9616,31459,False,en
863907417377173506,4441,21477,False,en
863553081350529029,4489,15935,False,en
863471782782697472,2687,0,False,en
863432100342583297,5664,24829,False,en
